UniProtKB_ac	iso_id	uniprot_seq_length	uniprot_seq_md5	coordinate_id	provider	from	to	template	qmeandisco_global	seqid	url	in_uniprot	model_length
Q5JVL4	Q5JVL4-1	640	84e5404e73d120a10d4b892b902a675c	62ee71f586c08d0a02e477f6	SWISSMODEL	7	531	7rro.363.A	0.7001691758119561	89.6875	https://swissmodel.expasy.org/repository/uniprot/Q5JVL4.pdb?provider=swissmodel&from=7&to=531&template=7rro.363.A	True	525
Q14934	Q14934-1	902	c78d76795ca14cc6c8d73c97d2f0b62f	62ef8d954fa568368b7d3eb8	SWISSMODEL	403	686	1p7h.1.C	0.7001776507242928	66.5492935180664	https://swissmodel.expasy.org/repository/uniprot/Q14934.pdb?provider=swissmodel&from=403&to=686&template=1p7h.1.C	True	284
Q9H223		541	11bc9b18501764a79e72e5e4a4bdb199	62eddeb42dae24ef69f8081f	SWISSMODEL	411	536	2jq6.1.A	0.7001790663361004	75.3968276977539	https://swissmodel.expasy.org/repository/uniprot/Q9H223.pdb?provider=swissmodel&from=411&to=536&template=2jq6.1.A	True	126
Q6ZYL4		71	206199dc301a76f183d188421611ddeb	62f0415f5ce9876bff6ee2a9	SWISSMODEL	2	67	6nmi.1.G	0.7002034511847989	100.0	https://swissmodel.expasy.org/repository/uniprot/Q6ZYL4.pdb?provider=swissmodel&from=2&to=67&template=6nmi.1.G	True	66
P14136	P14136-1	432	fb82e9c474aee2e09423791bbb5b9643	6348467714d71f6bada17e85	SWISSMODEL	278	372	3tnu.1.B	0.7002200709250955	42.1875	https://swissmodel.expasy.org/repository/uniprot/P14136.pdb?provider=swissmodel&from=278&to=372&template=3tnu.1.B	True	95
Q9Y2F9	Q9Y2F9-1	522	6faf185ce41266b01b5b2f3dbdcb6056	62edb92869d26a439929af09	SWISSMODEL	371	522	3no8.1.A	0.7002215928388835	41.290321350097656	https://swissmodel.expasy.org/repository/uniprot/Q9Y2F9.pdb?provider=swissmodel&from=371&to=522&template=3no8.1.A	True	152
Q9UBH6	Q9UBH6-1	696	d701f211de7a9a85a4e51eb926a526dc	62eeb49d774d170aaf7515e5	SWISSMODEL	2	205	5ijh.1.A	0.7002367639457944	100.0	https://swissmodel.expasy.org/repository/uniprot/Q9UBH6.pdb?provider=swissmodel&from=2&to=205&template=5ijh.1.A	True	204
P35555		2871	f8f84ac9dc30f3ff640ad4f691fee2b1	633865392bbfe8f4db77cafe	SWISSMODEL	1486	1647	1uzj.3.A	0.7002593145519284	100.0	https://swissmodel.expasy.org/repository/uniprot/P35555.pdb?provider=swissmodel&from=1486&to=1647&template=1uzj.3.A	True	162
Q14289	Q14289-1	1009	eff74a513866fff089a223c2f581c47b	6329768f4f3c15ae8b3b24cc	SWISSMODEL	39	687	2j0j.1.A	0.7002658102709897	52.4922103881836	https://swissmodel.expasy.org/repository/uniprot/Q14289.pdb?provider=swissmodel&from=39&to=687&template=2j0j.1.A	True	649
P45973		191	54c128b4135582d57ee07b0ac0798bf7	62ed8823c468fde4ca8efdf5	SWISSMODEL	112	178	2fmm.1.B	0.7002705595990255	80.59701538085938	https://swissmodel.expasy.org/repository/uniprot/P45973.pdb?provider=swissmodel&from=112&to=178&template=2fmm.1.B	True	67
P51784		963	1cfb04354eaa97fe25f7db4dcedad302	6342eee05b2c14f6d4c8c270	SWISSMODEL	75	288	4mem.2.A	0.7003055935120581	77.62557220458984	https://swissmodel.expasy.org/repository/uniprot/P51784.pdb?provider=swissmodel&from=75&to=288&template=4mem.2.A	True	214
Q9BY84	Q9BY84-1	665	e4bf9229798e1cb71c8ca102736d2389	62ee905a738ea7cecf55bee9	SWISSMODEL	156	300	5gtj.2.A	0.7003060415435692	33.5616455078125	https://swissmodel.expasy.org/repository/uniprot/Q9BY84.pdb?provider=swissmodel&from=156&to=300&template=5gtj.2.A	True	145
P06681	P06681-1	752	b590c971f4599a50c127d3671239349f	62eef79a23e30f7ee8173a42	SWISSMODEL	23	750	2xwb.1.C	0.7003285714513419	40.39548110961914	https://swissmodel.expasy.org/repository/uniprot/P06681.pdb?provider=swissmodel&from=23&to=750&template=2xwb.1.C	True	728
Q15327		319	f1a9c8ce7bb9feda7ad6f527c0b3de8f	62eb83f50cc28a52a4a5d983	SWISSMODEL	90	313	5ma9.1.B	0.7003317432878153	30.769229888916016	https://swissmodel.expasy.org/repository/uniprot/Q15327.pdb?provider=swissmodel&from=90&to=313&template=5ma9.1.B	True	224
P55036	P55036-1	377	ab40d8a6877508e3582d83c9e8d145a4	62ec523c7427f882813501db	SWISSMODEL	1	191	6mse.1.H	0.7003398948550009	100.0	https://swissmodel.expasy.org/repository/uniprot/P55036.pdb?provider=swissmodel&from=1&to=191&template=6mse.1.H	True	191
Q9BSW2	Q9BSW2-2	731	0d820694a8578e09915738ac9586747f	62fa6683b74c1fd6b1453a91	SWISSMODEL	545	708	2p5s.1.A	0.7003634381160662	47.02381134033203	https://swissmodel.expasy.org/repository/uniprot/Q9BSW2.pdb?provider=swissmodel&from=545&to=708&template=2p5s.1.A	True	164
O14795	O14795-1	1591	4264911e07121c68e8a9524d61f61c64	62f0f6663802bc6ca9bed417	SWISSMODEL	1	128	2cjt.1.A	0.7003645709807635	78.90625	https://swissmodel.expasy.org/repository/uniprot/O14795.pdb?provider=swissmodel&from=1&to=128&template=2cjt.1.A	True	128
Q96DR7	Q96DR7-1	871	2bff1d01af0da7c3637ad500517d5d3e	62ef721f2e235ac563d9956f	SWISSMODEL	372	866	7csp.1.A	0.7004052265116462	50.30801010131836	https://swissmodel.expasy.org/repository/uniprot/Q96DR7.pdb?provider=swissmodel&from=372&to=866&template=7csp.1.A	True	495
Q2M3G0	Q2M3G0-4	1257	7fdc96dd60a657e7241ed4f6e58ee81a	62f08123e080e759b4c6c5e0	SWISSMODEL	30	1255	6fn1.1.A	0.700411849466482	55.55555725097656	https://swissmodel.expasy.org/repository/uniprot/Q2M3G0.pdb?provider=swissmodel&from=30&to=1255&template=6fn1.1.A	True	1226
Q9UJV9		622	b5617ed5c3280dc35a5bfc0d59d2b7b3	62ee573c22779cb09dfb61ac	SWISSMODEL	167	565	6o5f.1.A	0.7004446784497633	39.79591751098633	https://swissmodel.expasy.org/repository/uniprot/Q9UJV9.pdb?provider=swissmodel&from=167&to=565&template=6o5f.1.A	True	399
Q7Z6G8	Q7Z6G8-1	1248	9396d5fa2862d9183b490b14c26a80c9	62f076b2f31b8a1347747371	SWISSMODEL	4	284	5led.1.A	0.7004529445427577	36.82310485839844	https://swissmodel.expasy.org/repository/uniprot/Q7Z6G8.pdb?provider=swissmodel&from=4&to=284&template=5led.1.A	True	281
Q8IUX4	Q8IUX4-1	373	89c0b57a8dd0c00e0788aff6271c327d	62ec43b8cefb41dda66498e9	SWISSMODEL	7	373	6p40.1.A	0.7004610327291737	47.25274658203125	https://swissmodel.expasy.org/repository/uniprot/Q8IUX4.pdb?provider=swissmodel&from=7&to=373&template=6p40.1.A	True	367
Q9BQ87		522	725436fba5ac106a6cbecdc285bcab02	62edbbb576d661b6ec505619	SWISSMODEL	172	522	2ymu.1.A	0.7005016099669644	29.81366539001465	https://swissmodel.expasy.org/repository/uniprot/Q9BQ87.pdb?provider=swissmodel&from=172&to=522&template=2ymu.1.A	True	351
P32942		547	f02dfed64e45db5d6279a944012112ea	62ede913855b42b4af9be83a	SWISSMODEL	34	480	1z7z.1.E	0.7005097890509939	52.24215316772461	https://swissmodel.expasy.org/repository/uniprot/P32942.pdb?provider=swissmodel&from=34&to=480&template=1z7z.1.E	True	447
Q9BXA6		273	6165e27e4e4456095a9682ff60e80c23	62ec4e048c3ce9c3b13d5d15	SWISSMODEL	8	271	3iec.1.A	0.7005109920151156	37.45173645019531	https://swissmodel.expasy.org/repository/uniprot/Q9BXA6.pdb?provider=swissmodel&from=8&to=271&template=3iec.1.A	True	264
Q8WUM0		1156	203386e1877eac3ebfe4760f86c2908e	62f0443ccb5c37305e707d26	SWISSMODEL	75	1154	6lk8.1.J	0.700533461771014	63.93297958374024	https://swissmodel.expasy.org/repository/uniprot/Q8WUM0.pdb?provider=swissmodel&from=75&to=1154&template=6lk8.1.J	True	1080
P40617		200	045a069fcd2209849da680a4c1b71e9c	62ed62f409488bd9294b0808	SWISSMODEL	14	188	1hur.1.A	0.7005452126376164	44.37869644165039	https://swissmodel.expasy.org/repository/uniprot/P40617.pdb?provider=swissmodel&from=14&to=188&template=1hur.1.A	True	175
Q8IX18	Q8IX18-1	779	c1022ea2e9080fc90eafc281a72afcb5	62ef178578a77906db06f5e6	SWISSMODEL	26	695	6fac.1.A	0.7005570388472755	41.21306228637695	https://swissmodel.expasy.org/repository/uniprot/Q8IX18.pdb?provider=swissmodel&from=26&to=695&template=6fac.1.A	True	670
P20264		500	b965369f8dcebb0e572980c880e45a71	62ed8d1fc699f3daff2a20ac	SWISSMODEL	320	459	3d1n.1.D	0.7005695575253454	44.75524520874024	https://swissmodel.expasy.org/repository/uniprot/P20264.pdb?provider=swissmodel&from=320&to=459&template=3d1n.1.D	True	140
P19013		520	75313482a883334dffac91314c982e95	62edb9afa09fdeca20ded029	SWISSMODEL	136	288	7d9n.1.B	0.7005784602853335	23.870967864990234	https://swissmodel.expasy.org/repository/uniprot/P19013.pdb?provider=swissmodel&from=136&to=288&template=7d9n.1.B	True	153
P59045	P59045-1	1033	22267fdfb08604e970b57129a65303f9	62effaac62a824a9e3efa2a4	SWISSMODEL	91	992	7wbt.1.A	0.7005893648820927	32.73942184448242	https://swissmodel.expasy.org/repository/uniprot/P59045.pdb?provider=swissmodel&from=91&to=992&template=7wbt.1.A	True	902
Q7Z6G8	Q7Z6G8-1	1248	9396d5fa2862d9183b490b14c26a80c9	62f076b2f31b8a1347747351	SWISSMODEL	3	287	7uzu.1.A	0.7005982855099258	29.856115341186523	https://swissmodel.expasy.org/repository/uniprot/Q7Z6G8.pdb?provider=swissmodel&from=3&to=287&template=7uzu.1.A	True	285
Q6AI14		798	ff96f6ed6d306fabef49554e4cccedc2	62ef2933713e5655b43c5aa9	SWISSMODEL	59	478	7dsw.1.A	0.7005993838643052	54.32692337036133	https://swissmodel.expasy.org/repository/uniprot/Q6AI14.pdb?provider=swissmodel&from=59&to=478&template=7dsw.1.A	True	420
Q9UG63	Q9UG63-1	623	34d8b0d9b78687eb9557f4ce565a225b	6343f30cdc23c5168d9c078f	SWISSMODEL	89	603	6r84.1.A	0.7006130519300412	54.474708557128906	https://swissmodel.expasy.org/repository/uniprot/Q9UG63.pdb?provider=swissmodel&from=89&to=603&template=6r84.1.A	True	515
Q12965		1108	3c20e0111a9ff65c18151f391508b291	6348699c8fe82da8e9801729	SWISSMODEL	20	707	6ui4.1.A	0.7006136237220713	49.70674514770508	https://swissmodel.expasy.org/repository/uniprot/Q12965.pdb?provider=swissmodel&from=20&to=707&template=6ui4.1.A	True	688
Q6ZSZ5	Q6ZSZ5-4	1361	9ae21b3cda769a7e048d1aa4dae0e3fe	62f0a5acacadb3607663d382	SWISSMODEL	422	789	4d0n.1.B	0.7006194828107297	53.260868072509766	https://swissmodel.expasy.org/repository/uniprot/Q6ZSZ5.pdb?provider=swissmodel&from=422&to=789&template=4d0n.1.B	True	368
P05067	P05067-1	770	7dd43312cd29a262acdc0517230bc5ca	6348c75f5b23cabd576c10d8	SWISSMODEL	289	342	1aap.1.A	0.7006308663552848	100.0	https://swissmodel.expasy.org/repository/uniprot/P05067.pdb?provider=swissmodel&from=289&to=342&template=1aap.1.A	True	54
Q13530	Q13530-1	473	9c8ab9db52dc6bad928b441a018de371	631571f5bc34eb84d2323cfb	SWISSMODEL	34	466	7rug.1.A	0.7006341912519293	100.0	https://swissmodel.expasy.org/repository/uniprot/Q13530.pdb?provider=swissmodel&from=34&to=466&template=7rug.1.A	True	433
Q6P6B7	Q6P6B7-1	361	92da3e44f391dcd354acaacce065ecb3	62ec1b982d45fbd88b74a1e6	SWISSMODEL	5	335	5le2.1.A	0.7006506152766078	30.981595993041992	https://swissmodel.expasy.org/repository/uniprot/Q6P6B7.pdb?provider=swissmodel&from=5&to=335&template=5le2.1.A	True	331
O95704	O95704-1	486	0eee882599a0b0cb6846d09af86ec59c	62ed6f9a617bd5f7e7c8e4c9	SWISSMODEL	285	419	3dxc.1.A	0.7006567312402092	42.53731155395508	https://swissmodel.expasy.org/repository/uniprot/O95704.pdb?provider=swissmodel&from=285&to=419&template=3dxc.1.A	True	135
P08519		2040	c2177523c0f66ef08dd2319ebe95bba1	633ae3e46ad022221aa19b86	SWISSMODEL	1265	2040	4dur.2.A	0.7006589827975013	69.58981323242188	https://swissmodel.expasy.org/repository/uniprot/P08519.pdb?provider=swissmodel&from=1265&to=2040&template=4dur.2.A	True	776
O43586	O43586-1	416	628584f84aaca07ca99fe43eccd56b6d	62ecc7bad81aca7982b564a4	SWISSMODEL	9	286	3abh.1.A	0.7006594459833875	19.28571510314941	https://swissmodel.expasy.org/repository/uniprot/O43586.pdb?provider=swissmodel&from=9&to=286&template=3abh.1.A	True	278
Q8TE49	Q8TE49-1	926	aa00a15a9c57f08bd62ae376f1acb792	62efa352ce5af4563797af88	SWISSMODEL	11	82	2l2d.1.A	0.7006651640292053	100.0	https://swissmodel.expasy.org/repository/uniprot/Q8TE49.pdb?provider=swissmodel&from=11&to=82&template=2l2d.1.A	True	72
Q9UNF1	Q9UNF1-1	606	aaaffb9ae20fc9e11272ca11da84f75d	6304544f8101eb6a85ef5244	SWISSMODEL	274	480	7dg2.1.B	0.7006982287382179	52.358489990234375	https://swissmodel.expasy.org/repository/uniprot/Q9UNF1.pdb?provider=swissmodel&from=274&to=480&template=7dg2.1.B	True	207
Q14184		412	e76944f60118a1cceba6389178f82c05	62ecbd054ea242ddd43da3e8	SWISSMODEL	126	408	2r83.1.A	0.7007053407481376	39.41605758666992	https://swissmodel.expasy.org/repository/uniprot/Q14184.pdb?provider=swissmodel&from=126&to=408&template=2r83.1.A	True	283
Q8N9B4	Q8N9B4-1	389	21df42f949656b3e91110e216aef501f	62ec7c639d3c5ea97dd749b5	SWISSMODEL	15	349	5le2.1.A	0.700705894562522	31.578947067260746	https://swissmodel.expasy.org/repository/uniprot/Q8N9B4.pdb?provider=swissmodel&from=15&to=349&template=5le2.1.A	True	335
Q14201	Q14201-1	252	33529ab8f3a5bb3ea334c0d7c6e5bfe9	62ec9cae7a024eac7f1a12f6	SWISSMODEL	1	115	3e9v.1.A	0.7007120524029574	42.477874755859375	https://swissmodel.expasy.org/repository/uniprot/Q14201.pdb?provider=swissmodel&from=1&to=115&template=3e9v.1.A	True	115
Q6ZNE9	Q6ZNE9-2	571	856a528ca9eebe09b73ff632bb4805be	62ee0b1aac613ff210b7ccbd	SWISSMODEL	4	175	7bqi.1.A	0.7007346639975399	44.1860466003418	https://swissmodel.expasy.org/repository/uniprot/Q6ZNE9.pdb?provider=swissmodel&from=4&to=175&template=7bqi.1.A	True	172
Q13503		144	4eb6d2a77abc73739ffcaf8f8621a00a	62ee56aaeafb2ce7d14a9db4	SWISSMODEL	65	123	2xg7.1.B	0.7007377416904995	19.64285659790039	https://swissmodel.expasy.org/repository/uniprot/Q13503.pdb?provider=swissmodel&from=65&to=123&template=2xg7.1.B	True	59
Q9NQ86	Q9NQ86-1	728	ef6485ce4d14ca42f75d631f6e9fc4fe	62eedd9f6aeac81a9cfce1d3	SWISSMODEL	510	724	7qs4.2.A	0.7007397664695755	99.54955291748048	https://swissmodel.expasy.org/repository/uniprot/Q9NQ86.pdb?provider=swissmodel&from=510&to=724&template=7qs4.2.A	True	215
Q8N3J9		261	4ef72e5e80c2916c3a97f291b0dde19d	62ec79e4cb5d22c1345b5722	SWISSMODEL	3	250	5v3j.1.C	0.7007488449121123	52.0	https://swissmodel.expasy.org/repository/uniprot/Q8N3J9.pdb?provider=swissmodel&from=3&to=250&template=5v3j.1.C	True	248
Q9Y283	Q9Y283-1	1065	c719b02688a73557baea6afafabd7496	62f00a509dd3ead06cf6cacd	SWISSMODEL	16	414	7uzu.1.A	0.7007525811048645	28.160919189453125	https://swissmodel.expasy.org/repository/uniprot/Q9Y283.pdb?provider=swissmodel&from=16&to=414&template=7uzu.1.A	True	399
Q9ULH0	Q9ULH0-1	1771	23e6925e02c77b1d47382fec9786cfc1	62f11b8cc0a7df187583433a	SWISSMODEL	4	426	5lee.1.A	0.700767113218787	34.28571319580078	https://swissmodel.expasy.org/repository/uniprot/Q9ULH0.pdb?provider=swissmodel&from=4&to=426&template=5lee.1.A	True	423
Q9NYG8	Q9NYG8-1	393	5f7a7237846a44e9ff29095269a8eaf7	62ec860a1e90bc16bb76ebb0	SWISSMODEL	1	264	3um7.1.A	0.7007793512841346	99.27007293701172	https://swissmodel.expasy.org/repository/uniprot/Q9NYG8.pdb?provider=swissmodel&from=1&to=264&template=3um7.1.A	True	264
Q9H095	Q9H095-1	443	3710cbf5cf7c9b50da2f38224c4fa1db	62ed0baf21e1203d94bd5ccc	SWISSMODEL	180	239	6ian.2.A	0.7007819760079183	12.676055908203123	https://swissmodel.expasy.org/repository/uniprot/Q9H095.pdb?provider=swissmodel&from=180&to=239&template=6ian.2.A	True	60
Q86YT6		1006	d999520723b2365d2293939612d9ca37	62efe36f5cc730d5c3612a93	SWISSMODEL	434	784	5le2.2.A	0.700821509646252	34.513275146484375	https://swissmodel.expasy.org/repository/uniprot/Q86YT6.pdb?provider=swissmodel&from=434&to=784&template=5le2.2.A	True	351
Q6ZW76	Q6ZW76-1	656	0c20c28e257ad507d6c43c87a529424c	62ee8611499fb0082bb42e8b	SWISSMODEL	16	228	5mak.1.B	0.7008269004980331	32.70142364501953	https://swissmodel.expasy.org/repository/uniprot/Q6ZW76.pdb?provider=swissmodel&from=16&to=228&template=5mak.1.B	True	213
Q16099		956	565418ed15d8a2b2ea87a71e448e760c	62efc29a67b34ac5ca942de8	SWISSMODEL	22	830	7ks0.1.C	0.7008415020797369	74.01960754394531	https://swissmodel.expasy.org/repository/uniprot/Q16099.pdb?provider=swissmodel&from=22&to=830&template=7ks0.1.C	True	809
B4E2M5		196	7aad4824869b5632d8721e74200d8432	62ed724409588840f46dca4c	SWISSMODEL	4	194	6moj.1.A	0.7008604839444748	29.12087821960449	https://swissmodel.expasy.org/repository/uniprot/B4E2M5.pdb?provider=swissmodel&from=4&to=194&template=6moj.1.A	True	191
Q99679		349	3ce016f4a728ed5d2fd0436a903864df	62ebeb74b46a1b68a95f1c4b	SWISSMODEL	11	326	6li2.1.A	0.70086365788881	67.08464050292969	https://swissmodel.expasy.org/repository/uniprot/Q99679.pdb?provider=swissmodel&from=11&to=326&template=6li2.1.A	True	316
O75648	O75648-1	421	ec2141144352177410f2b443aa954b12	62ecd37d6b058b56ed1e5fc8	SWISSMODEL	2	392	2hma.1.B	0.7008676845086252	44.16666793823242	https://swissmodel.expasy.org/repository/uniprot/O75648.pdb?provider=swissmodel&from=2&to=392&template=2hma.1.B	True	391
Q16630	Q16630-1	551	cbe85ef96cf4eb76d1fa5cef36de8604	62eded27375f77f0a3a788b0	SWISSMODEL	81	173	3q2s.1.C	0.7008713834210917	99.44751739501952	https://swissmodel.expasy.org/repository/uniprot/Q16630.pdb?provider=swissmodel&from=81&to=173&template=3q2s.1.C	True	93
Q9UBL0	Q9UBL0-1	812	e6fc16390052aaf44c1ccc970a1ed0d3	62ef36d965a6b463db984252	SWISSMODEL	142	252	1whr.1.A	0.7008727561542566	80.18018341064453	https://swissmodel.expasy.org/repository/uniprot/Q9UBL0.pdb?provider=swissmodel&from=142&to=252&template=1whr.1.A	True	111
P23763	P23763-1	118	55ce95da60acfafb150764539f20179d	62eeeb66ef86077e4118fc4e	SWISSMODEL	32	118	3hd7.1.A	0.7009017779848653	86.20689392089844	https://swissmodel.expasy.org/repository/uniprot/P23763.pdb?provider=swissmodel&from=32&to=118&template=3hd7.1.A	True	87
Q9Y2U2	Q9Y2U2-1	307	7cfdee295478ddadae037bcbec7e6fcd	62ebbdfb51414bf80e0e6a23	SWISSMODEL	6	269	3ukm.1.A	0.7009022917245468	40.99617004394531	https://swissmodel.expasy.org/repository/uniprot/Q9Y2U2.pdb?provider=swissmodel&from=6&to=269&template=3ukm.1.A	True	264
P11229	P11229-1	460	c30092595d83ffde9e19d52c845922d1	633e7e27383a8f099a98722d	SWISSMODEL	18	437	6wjc.1.A	0.7009494265027304	70.88036346435547	https://swissmodel.expasy.org/repository/uniprot/P11229.pdb?provider=swissmodel&from=18&to=437&template=6wjc.1.A	True	420
Q08830		312	3a700b595626a4e4af275171811972e6	62eba4177607deb47ef1aa24	SWISSMODEL	33	306	1fzc.1.E	0.70096592200826	39.13043594360352	https://swissmodel.expasy.org/repository/uniprot/Q08830.pdb?provider=swissmodel&from=33&to=306&template=1fzc.1.E	True	274
P48544		419	aee9feaa32dc46d98385b1c6b5a2c870	634811b86eb0c06d61a0a18b	SWISSMODEL	51	373	3spj.1.D	0.7009707329265238	57.92683029174805	https://swissmodel.expasy.org/repository/uniprot/P48544.pdb?provider=swissmodel&from=51&to=373&template=3spj.1.D	True	323
Q9UFN0		247	9d60e15bb3aa9236569a1f885542704a	62ecb23f4fedecc715aa62e7	SWISSMODEL	144	246	5kak.1.A	0.7010016955793446	32.03883361816406	https://swissmodel.expasy.org/repository/uniprot/Q9UFN0.pdb?provider=swissmodel&from=144&to=246&template=5kak.1.A	True	103
O60894		148	7bc2146037af829e6e3df6782efbc86a	630ba048b1ab9b2d19b07126	SWISSMODEL	27	135	4rwg.2.A	0.701006926890518	81.81818389892578	https://swissmodel.expasy.org/repository/uniprot/O60894.pdb?provider=swissmodel&from=27&to=135&template=4rwg.2.A	True	109
P0DPK2		136	05943eb6c64fd4d5893958d8ec496fd7	62ee82b129e8bacbc0821f6b	SWISSMODEL	40	133	7z0o.1.A	0.7010183641815292	75.73529052734375	https://swissmodel.expasy.org/repository/uniprot/P0DPK2.pdb?provider=swissmodel&from=40&to=133&template=7z0o.1.A	True	94
Q9H2X9	Q9H2X9-1	1139	120d7fd2d7dc8a8203aa46555040b39f	62f0379ee8cd102bffe66f83	SWISSMODEL	88	1133	6y5r.1.A	0.701031961532829	72.89546966552734	https://swissmodel.expasy.org/repository/uniprot/Q9H2X9.pdb?provider=swissmodel&from=88&to=1133&template=6y5r.1.A	True	1046
Q9H792		1746	c07bd34f5b3722afdf1f61eafb24edad	62f112c0a8485c7706c83187	SWISSMODEL	1285	1743	6bhc.1.B	0.7010348741894527	99.30069732666016	https://swissmodel.expasy.org/repository/uniprot/Q9H792.pdb?provider=swissmodel&from=1285&to=1743&template=6bhc.1.B	True	459
P20823	P20823-1	631	691ec784d74239a12df1ffec8a829c88	63195be7ac1a29dec0ad6d97	SWISSMODEL	85	276	2h8r.1.C	0.7010433797242624	77.83505249023438	https://swissmodel.expasy.org/repository/uniprot/P20823.pdb?provider=swissmodel&from=85&to=276&template=2h8r.1.C	True	192
P48443		463	dd71b0a70a77541ade1b806140bcd84b	633535994438a005e724fa9d	SWISSMODEL	136	456	3dzy.1.A	0.7010447966280212	75.5196304321289	https://swissmodel.expasy.org/repository/uniprot/P48443.pdb?provider=swissmodel&from=136&to=456&template=3dzy.1.A	True	321
Q6WBX8	Q6WBX8-5	426	bde15700b977fb4230ec1f585f42c822	62ece071882235c2085d7289	SWISSMODEL	2	274	6j8y.1.A	0.7010521259413993	42.69662857055664	https://swissmodel.expasy.org/repository/uniprot/Q6WBX8.pdb?provider=swissmodel&from=2&to=274&template=6j8y.1.A	True	273
